"arquivo_climatico","uf","municipio","populacao","zbb","tbsm","hdd18","cdd10","cdd24"
"BRA_MG_Sacramento.867950_INMET","MG","Sacramento",25630,3,21.79762557,39.7,4306.1,51.6
"BRA_MG_Salinas.867410_INMET","MG","Salinas",41301,3,23.27094749,2.1,4843.9,213.8
"BRA_MG_Sao.Joao.del.Rei.836880_INMET","MG","Sao Joao del Rei",89378,2,19.35915525,229.4,3416.1,1
"BRA_MG_Sao.Romao.867390_INMET","MG","Sao Romao",11553,6,24.02018265,0.2,5117.4,376
"BRA_MG_Serra.dos.Aimores.867630_INMET","MG","Serra dos Aimores",8767,5,23.25797945,2,4839.2,230.8
"BRA_MG_Teofilo.Otoni.867620_INMET","MG","Teofilo Otoni",141046,5,22.38800228,13.1,4521.6,126.2
"BRA_MG_Timoteo.868010_INMET","MG","Timoteo",87542,3,22.83237443,0.1,4683.8,144.6
"BRA_MG_Tres.Marias.867790_INMET","MG","Tres Marias",31028,4,21.96792237,15.1,4368.3,60.4
"BRA_MG_Uberlandia.867760_INMET","MG","Uberlandia",662362,4,22.9453653,17.6,4725.1,154.1
"BRA_MG_Unai.AP.834280_INMET","MG","Unai",82887,6,23.4338242,1.8,4903.3,190.4
"BRA_MG_Varginha.868480_INMET","MG","Varginha",132353,2,19.55253425,165.9,3486.7,6.7
"BRA_MG_Vicosa.836420_INMET","MG","Vicosa",77318,3,19.99050228,140.8,3646.5,2
"BRA_MS_Amambai.868940_INMET","MS","Amambai",37590,3,21.93819635,166.7,4357.9,211.8
"BRA_MS_Campo.Grande.Intl.AP.868100_INMET","MS","Campo Grande",853622,6,23.44772831,51.3,4908.4,310.3
"BRA_MS_Chapadao.do.Sul.867720_INMET","MS","Chapadao do Sul",22620,6,22.39607306,39.8,4524.6,87.5
"BRA_MS_Corumba.Intl.AP.835520_INMET","MS","Corumba",108656,8,25.90272831,63,5804.5,1087.4
"BRA_MS_Coxim.867700_INMET","MS","Coxim",33139,6,24.71479452,9.4,5370.9,560.2
"BRA_MS_Dourados.836590_INMET","MS","Dourados",212870,3,22.68562785,107.2,4630.4,289.2
"BRA_MS_Ivinhema.868600_INMET","MS","Ivinhema",22928,5,23.6878653,76.6,4996.1,461.7
"BRA_MS_Juti.868590_INMET","MS","Juti",6399,3,22.88667808,163.3,4706.6,389.5
"BRA_MS_Miranda.868070_INMET","MS","Miranda",27104,5,24.61140411,68.9,5333.2,706.5
"BRA_MS_Nhumirim.867680_INMET","MS","Nhecolandia",1605,5,24.88297945,29.9,5432.3,691.6
"BRA_MS_Ponta.Pora.868570_INMET","MS","Ponta Pora",86717,3,21.29077626,237.5,4130,180.7
"BRA_MS_Porto.Murtinho.AP.868330_INMET","MS","Porto Murtinho",16514,5,25.43723744,165.1,5637.1,1142.3
"BRA_MS_Rio.Brilhante.868360_INMET","MS","Rio Brilhante",34776,3,23.28892694,80.2,4850.9,368.7
"BRA_MS_Sete.Quedas.868950_INMET","MS","Sete Quedas",10832,3,22.33676941,165.3,4505.6,295.4
"BRA_MS_Sidrolandia.868090_INMET","MS","Sidrolandia",51355,5,23.3403653,116.9,4874.2,378.9
"BRA_MS_Tres.Lagoas.AP.868130_INMET","MS","Tres Lagoas",113619,6,24.35038813,23.7,5237.9,529.3
