ghr,hvac,lights,boundaries,envelope,shgc,building,afn,total_hvac_light_cons
14172,vrf,9.9,adiabatic,3.7,0.7,180,com,32850.71
14172,vrf,9.9,adiabatic,3.7,0.7,180,sem,33709.12
14172,vrf,9.9,adiabatic,2.5,0.3,90,com,33689.53
14172,vrf,9.9,adiabatic,3.7,0.7,270,com,32740.83
14172,vrf,9.9,adiabatic,3.7,0.7,270,sem,33568.95
14172,vrf,9.9,outdoors,2.5,0.3,0,com,32598.46
14172,vrf,9.9,outdoors,2.5,0.3,0,sem,33686.22
14172,vrf,9.9,outdoors,2.5,0.3,90,com,32903.34
14172,vrf,9.9,outdoors,2.5,0.3,90,sem,34035.02
14172,vrf,9.9,outdoors,2.5,0.3,180,com,33255.34
14172,vrf,9.9,outdoors,2.5,0.3,180,sem,34430.68
14172,vrf,9.9,outdoors,2.5,0.3,270,com,33136.28
14172,vrf,9.9,outdoors,2.5,0.3,270,sem,34272.98
14172,vrf,9.9,adiabatic,2.5,0.3,90,sem,34216.51
14172,vrf,9.9,outdoors,2.5,0.7,0,com,33240.93
14172,vrf,9.9,outdoors,2.5,0.7,0,sem,34409.05
14172,vrf,9.9,outdoors,2.5,0.7,90,com,33716.06
14172,vrf,9.9,outdoors,2.5,0.7,90,sem,34913.13
14172,vrf,9.9,outdoors,2.5,0.7,180,com,34266.28
14172,vrf,9.9,outdoors,2.5,0.7,180,sem,35495
14172,vrf,9.9,outdoors,2.5,0.7,270,com,34078.37
14172,vrf,9.9,outdoors,2.5,0.7,270,sem,35272.27
14172,vrf,9.9,outdoors,3.7,0.3,0,com,32690.52
14172,vrf,9.9,outdoors,3.7,0.3,0,sem,33821.2
14172,vrf,9.9,adiabatic,2.5,0.3,180,com,33736.58
14172,vrf,9.9,outdoors,3.7,0.3,90,com,32948.24
14172,vrf,9.9,outdoors,3.7,0.3,90,sem,34102.08
14172,vrf,9.9,outdoors,3.7,0.3,180,com,33225.86
14172,vrf,9.9,outdoors,3.7,0.3,180,sem,34412.72
14172,vrf,9.9,outdoors,3.7,0.3,270,com,33131.3
14172,vrf,9.9,outdoors,3.7,0.3,270,sem,34283.35
14172,vrf,9.9,outdoors,3.7,0.7,0,com,33364.78
14172,vrf,9.9,outdoors,3.7,0.7,0,sem,34562.06
14172,vrf,9.9,outdoors,3.7,0.7,90,com,33794.39
14172,vrf,9.9,outdoors,3.7,0.7,90,sem,35011.71
14172,vrf,9.9,adiabatic,2.5,0.3,180,sem,34306.34
14172,vrf,9.9,outdoors,3.7,0.7,180,com,34283.94
14172,vrf,9.9,outdoors,3.7,0.7,180,sem,35518.6
14172,vrf,9.9,outdoors,3.7,0.7,270,com,34104.27
14172,vrf,9.9,outdoors,3.7,0.7,270,sem,35312.71
14172,vrf,23.6,adiabatic,2.5,0.3,0,com,61666.45
14172,vrf,23.6,adiabatic,2.5,0.3,0,sem,62474.26
14172,vrf,23.6,adiabatic,2.5,0.3,90,com,61734
14172,vrf,23.6,adiabatic,2.5,0.3,90,sem,62543.17
14172,vrf,23.6,adiabatic,2.5,0.3,180,com,61773.87
14172,vrf,23.6,adiabatic,2.5,0.3,180,sem,62599.75
14172,vrf,9.9,adiabatic,2.5,0.3,270,com,33641.38
14172,vrf,23.6,adiabatic,2.5,0.3,270,com,61676.07
14172,vrf,23.6,adiabatic,2.5,0.3,270,sem,62524.57
14172,vrf,23.6,adiabatic,2.5,0.7,0,com,61930.97
14172,vrf,23.6,adiabatic,2.5,0.7,0,sem,62744.86
14172,vrf,23.6,adiabatic,2.5,0.7,90,com,62082.83
14172,vrf,23.6,adiabatic,2.5,0.7,90,sem,62891.39
14172,vrf,23.6,adiabatic,2.5,0.7,180,com,62217.12
14172,vrf,23.6,adiabatic,2.5,0.7,180,sem,63044.01
14172,vrf,23.6,adiabatic,2.5,0.7,270,com,62084.55
14172,vrf,23.6,adiabatic,2.5,0.7,270,sem,62924.17
14172,vrf,9.9,adiabatic,2.5,0.3,270,sem,34220.93
14172,vrf,23.6,adiabatic,3.7,0.3,0,com,60640.12
14172,vrf,23.6,adiabatic,3.7,0.3,0,sem,61781
14172,vrf,23.6,adiabatic,3.7,0.3,90,com,60714.63
14172,vrf,23.6,adiabatic,3.7,0.3,90,sem,61854.53
14172,vrf,23.6,adiabatic,3.7,0.3,180,com,60832.61
14172,vrf,23.6,adiabatic,3.7,0.3,180,sem,62004.73
14172,vrf,23.6,adiabatic,3.7,0.3,270,com,60777.3
14172,vrf,23.6,adiabatic,3.7,0.3,270,sem,61951.44
14172,vrf,23.6,adiabatic,3.7,0.7,0,com,60981.59
14172,vrf,23.6,adiabatic,3.7,0.7,0,sem,62147.98
14172,vrf,9.9,adiabatic,2.5,0.7,0,com,33877.61
14172,vrf,23.6,adiabatic,3.7,0.7,90,com,61144.66
14172,vrf,23.6,adiabatic,3.7,0.7,90,sem,62296.46
14172,vrf,23.6,adiabatic,3.7,0.7,180,com,61388.83
14172,vrf,23.6,adiabatic,3.7,0.7,180,sem,62567.24
14172,vrf,23.6,adiabatic,3.7,0.7,270,com,61288.32
14172,vrf,23.6,adiabatic,3.7,0.7,270,sem,62480.87
14172,vrf,23.6,outdoors,2.5,0.3,0,com,62367.93
14172,vrf,23.6,outdoors,2.5,0.3,0,sem,63561.18
14172,vrf,23.6,outdoors,2.5,0.3,90,com,62592.76
14172,vrf,23.6,outdoors,2.5,0.3,90,sem,63771.26
