hvac,envelope,lights,shgc,afn,azimuth,boundaries,ghr,tbs,tbu,targ
split,3.7,23.6,0.3,min,180,adiabatic,3495,15.31,11.66,117.887683333333
split,3.7,23.6,0.3,max,270,adiabatic,3495,15.31,11.66,117.33325
split,3.7,23.6,0.3,min,270,adiabatic,3495,15.31,11.66,117.597916666667
split,3.7,23.6,0.7,max,0,adiabatic,3495,15.31,11.66,117.954983333333
split,3.7,23.6,0.7,min,0,adiabatic,3495,15.31,11.66,118.49035
split,2.5,9.9,0.7,max,0,adiabatic,3495,15.31,11.66,80.7468333333333
split,3.7,23.6,0.7,max,90,adiabatic,3495,15.31,11.66,117.332966666667
split,3.7,23.6,0.7,min,90,adiabatic,3495,15.31,11.66,117.705816666667
split,3.7,23.6,0.7,max,180,adiabatic,3495,15.31,11.66,118.138616666667
split,3.7,23.6,0.7,min,180,adiabatic,3495,15.31,11.66,119.589916666667
split,3.7,23.6,0.7,max,270,adiabatic,3495,15.31,11.66,117.926183333333
split,3.7,23.6,0.7,min,270,adiabatic,3495,15.31,11.66,118.6943
split,2.5,23.6,0.3,max,0,outdoors,3495,15.31,11.66,116.440716666667
split,2.5,23.6,0.3,min,0,outdoors,3495,15.31,11.66,120.052
split,2.5,23.6,0.3,max,90,outdoors,3495,15.31,11.66,116.74285
split,2.5,23.6,0.3,min,90,outdoors,3495,15.31,11.66,120.159366666667
split,2.5,9.9,0.7,min,0,adiabatic,3495,15.31,11.66,77.0567333333333
vrf,2.5,9.9,0.3,max,0,adiabatic,14172,19.57,13.85,60.81405
vrf,2.5,23.6,0.3,max,180,outdoors,14172,19.57,13.85,109.611283333333
vrf,2.5,23.6,0.3,min,180,outdoors,14172,19.57,13.85,111.55475
vrf,2.5,23.6,0.3,max,270,outdoors,14172,19.57,13.85,109.395266666667
vrf,2.5,23.6,0.3,min,270,outdoors,14172,19.57,13.85,111.38325
vrf,2.5,23.6,0.7,max,0,outdoors,14172,19.57,13.85,109.57615
vrf,2.5,23.6,0.7,min,0,outdoors,14172,19.57,13.85,111.501233333333
vrf,2.5,23.6,0.7,max,90,outdoors,14172,19.57,13.85,110.12285
vrf,2.5,23.6,0.7,min,90,outdoors,14172,19.57,13.85,112.005266666667
vrf,2.5,23.6,0.7,max,180,outdoors,14172,19.57,13.85,110.856916666667
vrf,2.5,23.6,0.7,min,180,outdoors,14172,19.57,13.85,112.6151
vrf,2.5,9.9,0.7,max,90,adiabatic,14172,19.57,13.85,61.4875833333334
vrf,2.5,23.6,0.7,max,270,outdoors,14172,19.57,13.85,110.51955
vrf,2.5,23.6,0.7,min,270,outdoors,14172,19.57,13.85,112.418616666667
vrf,3.7,23.6,0.3,max,0,outdoors,14172,19.57,13.85,108.971583333333
vrf,3.7,23.6,0.3,min,0,outdoors,14172,19.57,13.85,110.948533333333
vrf,3.7,23.6,0.3,max,90,outdoors,14172,19.57,13.85,109.266366666667
vrf,3.7,23.6,0.3,min,90,outdoors,14172,19.57,13.85,111.201816666667
vrf,3.7,23.6,0.3,max,180,outdoors,14172,19.57,13.85,109.686083333333
vrf,3.7,23.6,0.3,min,180,outdoors,14172,19.57,13.85,111.595316666667
vrf,3.7,23.6,0.3,max,270,outdoors,14172,19.57,13.85,109.523583333333
vrf,3.7,23.6,0.3,min,270,outdoors,14172,19.57,13.85,111.491716666667
vrf,2.5,9.9,0.7,min,90,adiabatic,14172,19.57,13.85,62.4611
vrf,3.7,23.6,0.7,max,0,outdoors,14172,19.57,13.85,109.847366666667
vrf,3.7,23.6,0.7,min,0,outdoors,14172,19.57,13.85,111.74355
vrf,3.7,23.6,0.7,max,90,outdoors,14172,19.57,13.85,110.321716666667
vrf,3.7,23.6,0.7,min,90,outdoors,14172,19.57,13.85,112.16665
vrf,3.7,23.6,0.7,max,180,outdoors,14172,19.57,13.85,110.951716666667
vrf,3.7,23.6,0.7,min,180,outdoors,14172,19.57,13.85,112.696066666667
vrf,3.7,23.6,0.7,max,270,outdoors,14172,19.57,13.85,110.68285
vrf,3.7,23.6,0.7,min,270,outdoors,14172,19.57,13.85,112.563166666667
vrf,2.5,9.9,0.7,max,180,adiabatic,14172,19.57,13.85,61.7485
vrf,2.5,9.9,0.7,min,180,adiabatic,14172,19.57,13.85,62.8039833333333
vrf,2.5,9.9,0.7,max,270,adiabatic,14172,19.57,13.85,61.5064333333334
vrf,2.5,9.9,0.7,min,270,adiabatic,14172,19.57,13.85,62.5720333333333
vrf,3.7,9.9,0.3,max,0,adiabatic,14172,19.57,13.85,58.1267833333333
vrf,3.7,9.9,0.3,min,0,adiabatic,14172,19.57,13.85,59.2189666666667
vrf,3.7,9.9,0.3,max,90,adiabatic,14172,19.57,13.85,58.2732166666667
vrf,3.7,9.9,0.3,min,90,adiabatic,14172,19.57,13.85,59.4088333333333
vrf,2.5,9.9,0.3,min,0,adiabatic,14172,19.57,13.85,61.6684333333333
vrf,3.7,9.9,0.3,max,180,adiabatic,14172,19.57,13.85,58.4601333333334
vrf,3.7,9.9,0.3,min,180,adiabatic,14172,19.57,13.85,59.679
vrf,3.7,9.9,0.3,max,270,adiabatic,14172,19.57,13.85,58.35725
vrf,3.7,9.9,0.3,min,270,adiabatic,14172,19.57,13.85,59.5326833333333
vrf,3.7,9.9,0.7,max,0,adiabatic,14172,19.57,13.85,58.7359
vrf,3.7,9.9,0.7,min,0,adiabatic,14172,19.57,13.85,60.0210166666667
vrf,3.7,9.9,0.7,max,90,adiabatic,14172,19.57,13.85,59.0675833333334
vrf,3.7,9.9,0.7,min,90,adiabatic,14172,19.57,13.85,60.4023833333333
vrf,3.7,9.9,0.7,max,180,adiabatic,14172,19.57,13.85,59.5219666666667
vrf,3.7,9.9,0.7,min,180,adiabatic,14172,19.57,13.85,60.95265
vrf,2.5,9.9,0.3,max,90,adiabatic,14172,19.57,13.85,60.92
vrf,3.7,9.9,0.7,max,270,adiabatic,14172,19.57,13.85,59.3388333333334
vrf,3.7,9.9,0.7,min,270,adiabatic,14172,19.57,13.85,60.7190333333333
vrf,2.5,9.9,0.3,max,0,outdoors,14172,19.57,13.85,59.10155
vrf,2.5,9.9,0.3,min,0,outdoors,14172,19.57,13.85,60.9144833333333
vrf,2.5,9.9,0.3,max,90,outdoors,14172,19.57,13.85,59.6096833333333
vrf,2.5,9.9,0.3,min,90,outdoors,14172,19.57,13.85,61.4958166666667
vrf,2.5,9.9,0.3,max,180,outdoors,14172,19.57,13.85,60.19635
vrf,2.5,9.9,0.3,min,180,outdoors,14172,19.57,13.85,62.15525
vrf,2.5,9.9,0.3,max,270,outdoors,14172,19.57,13.85,59.9979166666667
vrf,2.5,9.9,0.3,min,270,outdoors,14172,19.57,13.85,61.8924166666667
vrf,2.5,9.9,0.3,min,90,adiabatic,14172,19.57,13.85,61.7983
vrf,2.5,9.9,0.7,max,0,outdoors,14172,19.57,13.85,60.1723333333334
vrf,2.5,9.9,0.7,min,0,outdoors,14172,19.57,13.85,62.1192
vrf,2.5,9.9,0.7,max,90,outdoors,14172,19.57,13.85,60.9642166666667
vrf,2.5,9.9,0.7,min,90,outdoors,14172,19.57,13.85,62.9593333333333
vrf,2.5,9.9,0.7,max,180,outdoors,14172,19.57,13.85,61.88125
vrf,2.5,9.9,0.7,min,180,outdoors,14172,19.57,13.85,63.9291166666667
