"case","seed","hvac","envelope","lights","shgc","afn","azimuth","boundaries","ghr","outputs"
"h_split_e_3.7_l_19.28_s_0.5_v_max_a_180.35_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",3.7,19.283203125,0.496484375,"max",180.3515625,"adiabatic",3495,41.816772903273
"h_split_e_3.7_l_19.28_s_0.5_v_max_a_69.26_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",3.7,19.283203125,0.496484375,"max",69.2578125,"adiabatic",3495,40.6531334256088
"h_split_e_3.7_l_19.28_s_0.5_v_max_a_69.26_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",3.7,19.283203125,0.496484375,"max",69.2578125,"outdoors",3495,40.6531334256088
"h_split_e_3.7_l_19.28_s_0.5_v_min_a_69.26_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",3.7,19.283203125,0.496484375,"min",69.2578125,"adiabatic",3495,43.7368745064691
"h_split_e_3.7_l_19.45_s_0.45_v_min_a_24.26_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",3.7,19.447265625,0.446484375,"min",24.2578125,"outdoors",3495,43.4591576467546
"h_split_e_3.7_l_19.45_s_0.53_v_max_a_135.35_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",3.7,19.447265625,0.533203125,"max",135.3515625,"outdoors",3495,41.5494286852337
"h_split_e_3.7_l_21.03_s_0.45_v_max_a_24.26_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",3.7,21.033203125,0.446484375,"max",24.2578125,"outdoors",3495,40.8671010444039
"h_split_e_3.7_l_21.03_s_0.45_v_min_a_135.35_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",3.7,21.033203125,0.446484375,"min",135.3515625,"outdoors",3495,45.5056362531328
"h_split_e_3.7_l_21.03_s_0.45_v_min_a_24.26_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",3.7,21.033203125,0.446484375,"min",24.2578125,"outdoors",3495,44.394159619888
"h_split_e_3.7_l_21.03_s_0.53_v_min_a_24.26_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",3.7,21.033203125,0.533203125,"min",24.2578125,"outdoors",3495,44.8307145064346
